Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
115,1,Long March 3,Retired,,2804,"5,000 kg","1,500 kg",3,0,46.60,3.0 m,7.27 m
115,2,Long March 3A,Active,$69.7 million,2962,"8,500 kg","2,600 kg",3,0,52.52,3.35 m,8.89 m
115,3,Long March 3B,Retired,,5924,"11,500 kg","5,100 kg",3,4,54.84,4.0 m,9.56 m
115,4,Long March 3B/E,Active,$29.15 million,5986,"11,500 kg","5,550 kg",3,4,56.30,4.2 m,9.56 m
115,5,Long March 3B/YZ-1,Active,,5986,"12,000 kg","5,550 kg",4,4,54.84,4.0 m,10.8 m
115,6,Long March 3C,Retired,$20.14 million,5923,"8,000 kg","3,800 kg",3,2,54.84,4.2 m,9.78 m
115,7,Long March 3C/E,Active,$20.0 million,5923,"8,000 kg","3,900 kg",3,4,55.64,4.2 m,9.78 m
115,8,Long March 3C/YZ-1,Active,$20.0 million,5923,"7,500 kg","3,500 kg",4,2,55.64,4.2 m,9.78 m
120,1,Long March 4B,Active,$64.68 million,2993,"4,200 kg","1,500 kg",3,0,46.97,3.8 m,11.74 m
121,1,Long March 4C,Active,$64.68 million,2993,"4,200 kg","1,500 kg",3,0,46.97,3.8 m,11.74 m
123,1,Long March 5B,Active,,10565,"23,000 kg",0 kg,2,4,53.66,5.2 m,20.5 m
122,1,Long March 5,Active,,10565,"32,000 kg","14,000 kg",3,4,57.00,5.2 m,20.0 m
122,2,Long March 5/YZ-2,Active,,10565,"32,000 kg","13,500 kg",3,4,57.00,5.2 m,20.0 m
124,1,Long March 6,Active,$19.0 million,1188,"1,080 kg",0 kg,3,0,29.24,2.6 m,6.145 m
124,2,Long March 6A,Planned,,,,,3,4,45.00,2.6 m,5.7 m
126,1,Long March 8,Active,$27.0 million,4752,"7,600 kg","2,500 kg",3,2,50.00,4.0 m,12.1 m
125,1,Long March 7,Active,,7128,"13,500 kg","5,500 kg",2,4,53.10,4.2 m,12.4 m
125,2,Long March 7A,Active,,7128,"12,000 kg","7,000 kg",3,4,58.00,4.2 m,12.4 m
125,3,Long March 7/YZ-1A,Active,,7128,"13,200 kg","5,200 kg",3,4,53.10,4.2 m,10.0 m
127,1,Minotaur I,Active,$40.0 million,935,580 kg,,4,0,19.21,1.27 m,3.79 m
128,1,Minotaur IV,Active,$46.0 million,2200,"1,735 kg",,4,0,23.88,2.34 m,6.4 m
130,1,Mu-IV S,Retired,,,180 kg,,4,8,23.60,,
129,1,Minotaur V,Active,$55.0 million,2224,,532 kg,5,0,24.56,2.34 m,6.4 m
131,1,Mu-V/M-24,Retired,,3780,"1,800 kg",,4,0,30.70,,
131,2,Mu-V/M-25,Retired,,3780,"1,800 kg",,4,0,30.70,,
132,1,Pegasus,Retired,$40.0 million,487,375 kg,,3,0,16.90,1.15 m,2.13 m
132,2,Pegasus/HAPS,Retired,$40.0 million,487,,,4,0,16.90,1.15 m,2.13 m
132,3,Pegasus XL,Active,$40.0 million,561,443 kg,,4,0,17.60,1.15 m,2.13 m
132,4,Pegasus XL/HAPS,Active,$40.0 million,561,,,4,0,17.60,1.15 m,2.13 m
133,1,Proton-K,Retired,,9469,"20,100 kg",0 kg,3,0,56.14,4.15 m,16.12 m
133,2,Proton-K/Block D,Retired,,8840,"18,900 kg","9,000 kg",4,0,56.14,3.9 m,8.9 m
133,3,Proton-K/Block D-1,Retired,,9468,"19,000 kg","9,000 kg",4,0,56.14,3.9 m,10.4 m
133,4,Proton-K/Block D-2,Retired,,9548,"19,000 kg","9,000 kg",4,0,56.14,3.9 m,10.4 m
133,5,Proton-K/Block-DM,Retired,,9195,"19,000 kg","2,200 kg",4,0,56.14,3.9 m,8.9 m
133,6,Proton-K/Block DM-1,Retired,,9468,"19,000 kg","2,200 kg",4,0,57.24,3.9 m,7.65 m
133,7,Proton K/Block-DM-2,Retired,,9548,"19,000 kg","2,400 kg",4,0,57.64,4.35 m,10.4 m
133,8,Proton-K/Block-DM2,Retired,,9548,"19,000 kg","2,500 kg",4,0,56.14,3.9 m,8.9 m
133,9,Proton-K/Block DM-2M,Retired,,9548,"19,000 kg","2,500 kg",4,0,57.64,4.35 m,10.4 m
133,10,Proton-K/Block DM-3,Retired,,9548,"19,000 kg","2,500 kg",4,0,57.64,4.35 m,10.4 m
133,11,Proton-K/Block DM-4,Retired,,9548,"19,000 kg","2,500 kg",4,0,57.64,4.35 m,10.4 m
133,12,Proton-K/Block DM-5,Retired,,9548,"19,000 kg","2,500 kg",4,0,57.64,4.35 m,10.4 m
