Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
253,1,SpaceShipTwo,Active,,,0 kg,0 kg,1,0,,,
254,1,Delta D,Retired,,1725,575 kg,104 kg,3,3,,,
255,1,Callisto,Planned,,,0 kg,0 kg,1,0,13.00,1.1 m,0.0 m
256,1,Thémis,Planned,,,0 kg,0 kg,1,0,26.00,0.0 m,0.0 m
258,1,RFA One,Planned,,,"1,100 kg",,2,0,,,
257,1,Spectrum,Planned,,675,"1,000 kg",,2,0,27.00,2.0 m,
259,1,RS1,Planned,$12.0 million,485,"1,350 kg",,2,0,,,
260,1,Commercial Titan III,Retired,$136.6 million,12454,"14,515 kg",,2,2,47.00,,
260,2,Titan 34D,Retired,,11279,"14,515 kg","5,000 kg",3,2,50.00,3.05 m,
260,3,Titan III(23)B,Retired,,2300,"3,300 kg",,3,0,45.00,1.5 m,
260,4,Titan III(23)C,Retired,,13642,"13,100 kg","3,000 kg",3,2,42.00,3.0 m,
260,5,Titan III(24)B,Retired,,2410,"4,000 kg",,3,0,50.00,3.05 m,
260,6,Titan-III(33)B Agena-D,Retired,,2300,,,3,,45.00,3.05 m,
260,7,Titan III(34)B Agena-D,Retired,,2300,,,3,,45.00,3.05 m,
260,8,Titan IIIA,Retired,$63.23 million,1936,"3,100 kg",,3,0,42.00,,
260,9,Titan IIIB,Retired,$59.0 million,2300,"3,300 kg",,3,0,45.00,1.52 m,
260,10,Titan IIIC,Retired,,13642,"13,100 kg","3,000 kg",3,2,42.00,3.0 m,
260,11,Titan IIID,Retired,,10587,"12,300 kg",,2,2,36.00,,
260,12,Titan IIIE,Retired,,12769,"15,400 kg",,3,2,48.80,,
261,1,Titan IV(401)A,Retired,,14200,,,3,2,63.00,5.1 m,
261,2,Titan IV(401)B,Retired,,15000,,,3,2,62.00,5.1 m,
261,3,Titan IV(402)A,Retired,,14200,,"4,944 kg",4,2,54.00,5.1 m,
261,4,Titan IV(402)B,Retired,,15000,,,4,2,54.00,5.1 m,
261,5,Titan IV(403)A,Retired,,14200,"17,700 kg",,2,2,54.00,5.1 m,
261,6,Titan IV(403)B,Retired,,15000,"21,680 kg",,2,2,54.00,5.1 m,
261,7,Titan IV(404)A,Retired,,14200,"17,700 kg",,2,2,54.00,5.1 m,
261,8,Titan IV(404)B,Retired,,15000,"21,680 kg",,2,2,54.00,5.1 m,
261,9,Titan IV(405)A,Retired,,14200,"17,700 kg",,2,2,54.00,5.1 m,
261,10,Titan IV(405)B,Retired,,15000,"21,680 kg",,2,2,54.00,5.1 m,
263,1,Delta 1410,Retired,,,,,2,4,,,
263,2,Delta 1604,Retired,,,,,3,6,,,
263,3,Delta 1900,Retired,,,"1,800 kg",,2,9,,,
263,4,Delta 1910,Retired,,,,,2,9,,,
263,5,Delta 1913,Retired,,,,,3,9,,,
263,6,Delta 1914,Retired,,,,680 kg,3,9,,,
262,1,Thor-LV2D Burner-1I,Retired,,1571,,,2,3,31.00,,
262,2,Thor-LV2D Burner-2,Retired,,,,,2,3,,,
262,3,Thor-LV2F Star-ISS,Retired,,,,,2,3,,,
264,1,Delta 2310,Retired,,,,,2,3,,,
264,2,Delta 2313,Retired,,,,,3,3,,,
264,3,Delta 2910,Retired,,,"1,887 kg",,2,9,,,
264,4,Delta 2913,Retired,,,,,3,9,,,
264,5,Delta 2914,Retired,,,,724 kg,3,9,,,
266,1,Delta M,Retired,,,,356 kg,3,3,,,
266,2,Delta M6,Retired,,,"1,293 kg",454 kg,3,6,,,
265,1,Delta 5920-8,Retired,,,"3,849 kg",,2,9,,,
267,1,Delta 300,Retired,,,,,2,3,,,
267,2,Delta 900,Retired,,,,,2,9,,,
268,1,Delta E,Retired,,,735 kg,150 kg,3,3,,,
268,2,Delta E1,Retired,,,,205 kg,3,3,,,
269,1,Delta G,Retired,,,,,2,3,,,
270,1,Delta J,Retired,,,800 kg,263 kg,3,3,,,
271,1,Delta N,Retired,,,900 kg,,2,3,,,
271,2,Delta N6,Retired,,,"1,600 kg",,2,6,,,
272,1,Delta L,Retired,,,998 kg,356 kg,3,3,,,
274,1,Cargo Starship,Planned,,,,,,,50.00,,
274,2,Crew Starship,Planned,,,,,,,50.00,,
274,3,Tanker Starship,Planned,,,,,,,50.00,,
275,1,Super Heavy,Planned,,,,,1,0,70.00,,
275,2,Super Heavy Prototype,Active,,,,,1,0,70.00,,
276,1,Terran R,Planned,,9341,"20,000 kg",,2,0,65.80,5.0 m,
277,1,Launcher Light,Planned,,98,150 kg,,3,0,15.20,,
279,1,Hapith I,Planned,,520,0 kg,0 kg,2,0,10.00,,
280,1,Hapith V,Planned,,650,390 kg,0 kg,3,0,20.00,2.2 m,
281,1,Zhongke-1A,Planned,,,"2,000 kg","1,500 kg",4,0,31.00,3.35 m,
